SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.750000
---------------------------
Steps Taken: 45 | Time Diff: 999.08
Steps Taken: 46 | Time Diff: 1004.2
Steps Taken: 47 | Time Diff: 1009.31
Steps Taken: 48 | Time Diff: 1014.44
Steps Taken: 49 | Time Diff: 1019.55
Steps Taken: 50 | Time Diff: 1024.67
Steps Taken: 1 | Time Diff: 1029.8
Steps Taken: 2 | Time Diff: 1034.92
Steps Taken: 3 | Time Diff: 1040.04
Steps Taken: 4 | Time Diff: 1045.16
Steps Taken: 5 | Time Diff: 1050.29
Steps Taken: 6 | Time Diff: 1055.42
Steps Taken: 7 | Time Diff: 1060.54
Steps Taken: 8 | Time Diff: 1065.67
Steps Taken: 9 | Time Diff: 1070.8
Steps Taken: 10 | Time Diff: 1075.92
Steps Taken: 11 | Time Diff: 1081.05
Steps Taken: 12 | Time Diff: 1086.19
Steps Taken: 13 | Time Diff: 1091.3
Steps Taken: 14 | Time Diff: 1096.42
Steps Taken: 15 | Time Diff: 1101.54
Steps Taken: 16 | Time Diff: 1106.67
Steps Taken: 17 | Time Diff: 1111.79
Steps Taken: 18 | Time Diff: 1116.9
Steps Taken: 19 | Time Diff: 1122.02
Steps Taken: 20 | Time Diff: 1127.13
Steps Taken: 21 | Time Diff: 1132.25
Steps Taken: 22 | Time Diff: 1137.37
Steps Taken: 23 | Time Diff: 1142.47
Steps Taken: 24 | Time Diff: 1147.6
Steps Taken: 25 | Time Diff: 1152.71
Steps Taken: 26 | Time Diff: 1157.83
Steps Taken: 27 | Time Diff: 1162.94
Steps Taken: 28 | Time Diff: 1168.05
Steps Taken: 29 | Time Diff: 1173.18
Steps Taken: 30 | Time Diff: 1178.29
Steps Taken: 31 | Time Diff: 1183.4
Steps Taken: 32 | Time Diff: 1188.52
Steps Taken: 33 | Time Diff: 1193.64
Steps Taken: 34 | Time Diff: 1198.76
Steps Taken: 35 | Time Diff: 1203.88
Steps Taken: 36 | Time Diff: 1208.99
Steps Taken: 37 | Time Diff: 1214.11
Steps Taken: 38 | Time Diff: 1219.22
Steps Taken: 39 | Time Diff: 1224.34
Steps Taken: 40 | Time Diff: 1229.47
Steps Taken: 41 | Time Diff: 1234.58
Steps Taken: 42 | Time Diff: 1239.71
Steps Taken: 43 | Time Diff: 1244.83
Steps Taken: 44 | Time Diff: 1249.94
Steps Taken: 45 | Time Diff: 1255.05
Steps Taken: 46 | Time Diff: 1260.17
Steps Taken: 47 | Time Diff: 1265.29
Steps Taken: 48 | Time Diff: 1270.41
Steps Taken: 49 | Time Diff: 1275.53
Steps Taken: 50 | Time Diff: 1280.65
RESULTS ------------->
Trials: [[  77.  173.]]
(cost,beta): (0.75, 0)
(reward,accuracy): (-2.55, 0.308)
Steps Taken: 1 | Time Diff: 1285.76
Steps Taken: 2 | Time Diff: 1290.86
Steps Taken: 3 | Time Diff: 1295.97
Steps Taken: 4 | Time Diff: 1301.06
Steps Taken: 5 | Time Diff: 1306.16
Steps Taken: 6 | Time Diff: 1311.25
Steps Taken: 7 | Time Diff: 1316.36
Steps Taken: 8 | Time Diff: 1321.47
Steps Taken: 9 | Time Diff: 1326.56
